"sample_alias"	"cellLine"	"protocol"	"generation_date"	"fastq_path"	"genome_bam_path"	"transcriptome_bam_path"
"SGNex_MCF7_PacBio-SMRTcell_replicate5_run1"	"MCF7"	"PacBio-SMRTcell"	"20230120"	"s3://sg-nex-data/data/sequencing_data_pacbio/fastq/SGNex_MCF7_PacBio-SMRTcell_replicate5_run1/SGNex_MCF7_PacBio-SMRTcell_replicate5_run1.fastq.gz"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/genome/SGNex_MCF7_PacBio-SMRTcell_replicate5_run1/SGNex_MCF7_PacBio-SMRTcell_replicate5_run1.bam"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/transcriptome/SGNex_MCF7_PacBio-SMRTcell_replicate5_run1/SGNex_MCF7_PacBio-SMRTcell_replicate5_run1.bam"
"SGNex_HepG2_PacBio-SMRTcell_replicate7_run1"	"HepG2"	"PacBio-SMRTcell"	"20230120"	"s3://sg-nex-data/data/sequencing_data_pacbio/fastq/SGNex_HepG2_PacBio-SMRTcell_replicate7_run1/SGNex_HepG2_PacBio-SMRTcell_replicate7_run1.fastq.gz"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/genome/SGNex_HepG2_PacBio-SMRTcell_replicate7_run1/SGNex_HepG2_PacBio-SMRTcell_replicate7_run1.bam"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/transcriptome/SGNex_HepG2_PacBio-SMRTcell_replicate7_run1/SGNex_HepG2_PacBio-SMRTcell_replicate7_run1.bam"
"SGNex_A549_PacBio-SMRTcell_replicate7_run1"	"A549"	"PacBio-SMRTcell"	"20230120"	"s3://sg-nex-data/data/sequencing_data_pacbio/fastq/SGNex_A549_PacBio-SMRTcell_replicate7_run1/SGNex_A549_PacBio-SMRTcell_replicate7_run1.fastq.gz"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/genome/SGNex_A549_PacBio-SMRTcell_replicate7_run1/SGNex_A549_PacBio-SMRTcell_replicate7_run1.bam"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/transcriptome/SGNex_A549_PacBio-SMRTcell_replicate7_run1/SGNex_A549_PacBio-SMRTcell_replicate7_run1.bam"
"SGNex_Hct116_PacBio-SMRTcell_replicate7_run1"	"HCT116"	"PacBio-SMRTcell"	"20230120"	"s3://sg-nex-data/data/sequencing_data_pacbio/fastq/SGNex_Hct116_PacBio-SMRTcell_replicate7_run1/SGNex_Hct116_PacBio-SMRTcell_replicate7_run1.fastq.gz"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/genome/SGNex_Hct116_PacBio-SMRTcell_replicate7_run1/SGNex_Hct116_PacBio-SMRTcell_replicate7_run1.bam"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/transcriptome/SGNex_Hct116_PacBio-SMRTcell_replicate7_run1/SGNex_Hct116_PacBio-SMRTcell_replicate7_run1.bam"
"SGNex_K562_PacBio-SMRTcell_replicate7_run1"	"K562"	"PacBio-SMRTcell"	"20230127"	"s3://sg-nex-data/data/sequencing_data_pacbio/fastq/SGNex_K562_PacBio-SMRTcell_replicate7_run1/SGNex_K562_PacBio-SMRTcell_replicate7_run1.fastq.gz"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/genome/SGNex_K562_PacBio-SMRTcell_replicate7_run1/SGNex_K562_PacBio-SMRTcell_replicate7_run1.bam"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/transcriptome/SGNex_K562_PacBio-SMRTcell_replicate7_run1/SGNex_K562_PacBio-SMRTcell_replicate7_run1.bam"
"SGNex_HEYA8_PacBio-SMRTcell_replicate4_run1"	"HEYA8"	"PacBio-SMRTcell"	"20230127"	"s3://sg-nex-data/data/sequencing_data_pacbio/fastq/SGNex_HEYA8_PacBio-SMRTcell_replicate4_run1/SGNex_HEYA8_PacBio-SMRTcell_replicate4_run1.fastq.gz"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/genome/SGNex_HEYA8_PacBio-SMRTcell_replicate4_run1/SGNex_HEYA8_PacBio-SMRTcell_replicate4_run1.bam"	"s3://sg-nex-data/data/sequencing_data_pacbio/bam/transcriptome/SGNex_HEYA8_PacBio-SMRTcell_replicate4_run1/SGNex_HEYA8_PacBio-SMRTcell_replicate4_run1.bam"
